výsledek pro soubor txt	porvní sloupec zdroje			kdo, komu	kdy	řádek	číslo zprávy	sestava	další sloupce zdrojů – texty			
[639 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Předloženy 2 soubory    [639 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Předloženy 2 soubory    	[639 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	639	1	[639 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Předloženy 2 soubory    	 Předloženy 2 soubory			
[640 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Perfektní! Mám oba soubory vytvořené a prezentované. Měl bych říct, co Teď jsme dokončili a co zbývá.    [640 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Perfektní! Mám oba soubory vytvořené a prezentované. Měl bych říct, co Teď jsme dokončili a co zbývá.    	[640 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	640	1	[640 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Perfektní! Mám oba soubory vytvořené a prezentované. Měl bych říct, co Teď jsme dokončili a co zbývá.    	 Perfektní! Mám oba soubory vytvořené a prezentované. Měl bych říct, co Teď jsme dokončili a co zbývá.			
[641 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Hotovo    [641 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Hotovo    	[641 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	641	1	[641 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Hotovo    	 Hotovo			
[642 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Hotovo, Aleši!    [642 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Hotovo, Aleši!    	[642 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	642	1	[642 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Hotovo, Aleši!    	 Hotovo, Aleši!			
[643 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  MNZ-14 ČÁST 1 (těleso 1-11) ✓    [643 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  MNZ-14 ČÁST 1 (těleso 1-11) ✓    	[643 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	643	1	[643 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  MNZ-14 ČÁST 1 (těleso 1-11) ✓    	 MNZ-14 ČÁST 1 (těleso 1-11) ✓			
[644 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Kompletní překlad:    [644 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Kompletní překlad:    	[644 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	644	1	[644 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Kompletní překlad:    	 Kompletní překlad:			
[645 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  ✅ Ruská verze (mnz-14-part1-ru.docx)    [645 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  ✅ Ruská verze (mnz-14-part1-ru.docx)    	[645 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	645	1	[645 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  ✅ Ruská verze (mnz-14-part1-ru.docx)    	 ✅ Ruská verze (mnz-14-part1-ru.docx)			
[646 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  ✅ Anglická verze (mnz-14-part1-en.docx)    [646 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  ✅ Anglická verze (mnz-14-part1-en.docx)    	[646 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	646	1	[646 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  ✅ Anglická verze (mnz-14-part1-en.docx)    	 ✅ Anglická verze (mnz-14-part1-en.docx)			
[647 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Obsah části 1:    [647 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Obsah části 1:    	[647 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	647	1	[647 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Obsah části 1:    	 Obsah části 1:			
[648 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Starověké nákresy mimozemských návštěv    [648 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Starověké nákresy mimozemských návštěv    	[648 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	648	1	[648 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Starověké nákresy mimozemských návštěv    	 Starověké nákresy mimozemských návštěv			
[649 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Záhadný objev v pyramidě (1988)    [649 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Záhadný objev v pyramidě (1988)    	[649 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	649	1	[649 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Záhadný objev v pyramidě (1988)    	 Záhadný objev v pyramidě (1988)			
[650 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Únos Travise Waltona (1975)    [650 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Únos Travise Waltona (1975)    	[650 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	650	1	[650 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Únos Travise Waltona (1975)    	 Únos Travise Waltona (1975)			
[651 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Náhodné záběry UFO při natáčení    [651 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Náhodné záběry UFO při natáčení    	[651 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	651	1	[651 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Náhodné záběry UFO při natáčení    	 Náhodné záběry UFO při natáčení			
[652 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Washingtonská UFO vlna (1952)    [652 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Washingtonská UFO vlna (1952)    	[652 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	652	1	[652 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Washingtonská UFO vlna (1952)    	 Washingtonská UFO vlna (1952)			
[653 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Záhadné útvary na Marsu    [653 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Záhadné útvary na Marsu    	[653 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	653	1	[653 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Záhadné útvary na Marsu    	 Záhadné útvary na Marsu			
[654 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Geoglyfy Nazca (Peru)    [654 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Geoglyfy Nazca (Peru)    	[654 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	654	1	[654 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Geoglyfy Nazca (Peru)    	 Geoglyfy Nazca (Peru)			
[655 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Sumerské královské seznamy    [655 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Sumerské královské seznamy    	[655 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	655	1	[655 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Sumerské královské seznamy    	 Sumerské královské seznamy			
[656 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Puma Punku (Bolívie)    [656 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Puma Punku (Bolívie)    	[656 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	656	1	[656 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Puma Punku (Bolívie)    	 Puma Punku (Bolívie)			
[657 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Sumerské kosmologické texty    [657 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Sumerské kosmologické texty    	[657 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	657	1	[657 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Sumerské kosmologické texty    	 Sumerské kosmologické texty			
[658 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  UFO ve středověkém umění    [658 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  UFO ve středověkém umění    	[658 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	658	1	[658 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  UFO ve středověkém umění    	 UFO ve středověkém umění			
[659 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Zbývá část 2: Body 12-22 (+ závěr) - v další session    [659 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Zbývá část 2: Body 12-22 (+ závěr) - v další session    	[659 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	659	1	[659 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Zbývá část 2: Body 12-22 (+ závěr) - v další session    	 Zbývá část 2: Body 12-22 (+ závěr) - v další session			
[660 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Můžeme pokračovat hned, nebo si dáš pauzu? 🙂    [660 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Můžeme pokračovat hned, nebo si dáš pauzu? 🙂    	[660 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	660	1	[660 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Můžeme pokračovat hned, nebo si dáš pauzu? 🙂    	 Můžeme pokračovat hned, nebo si dáš pauzu? 🙂			
[661 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Mnz 14 část 1 ru    [661 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Mnz 14 část 1 ru    	[661 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	661	1	[661 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Mnz 14 část 1 ru    	 Mnz 14 část 1 ru			
[662 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Dokument · DOCX    [662 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Dokument · DOCX    	[662 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	662	1	[662 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Dokument · DOCX    	 Dokument · DOCX			
[663 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Mnz 14 část 1 cs    [663 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Mnz 14 část 1 cs    	[663 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	663	1	[663 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Mnz 14 část 1 cs    	 Mnz 14 část 1 cs			
[664 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Dokument · DOCX    [664 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Dokument · DOCX    	[664 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	664	1	[664 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Dokument · DOCX    	 Dokument · DOCX			
[665 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  tady toho asi slohově moc nevytvoříš. jde o tabulku. spíš chyby a překlepy + přelozit rj a an EXOPLANETY Naši vzdálení předkové měli přesnější informace nejen o galaxii, ale také o naší sluneční soustavě, než my nyní. Zejména velmi dobře znali její historii a strukturu. Znali složení naší sluneční soustavy. Systém, zahrnuje 27 (podle starého systému výpočtu) planet a velkých asteroidů zvaných Země, z nichž polovina je umístěna za Plutem a dosud není našim moderním astronomům známa. Cestování za tři krát devět Zemí, zmíněné ve starých ruských pohádkách, znamenalo vesmírný let mimo naší sluneční soustavu. Sluneční soustava je jakousi spirálou. Ve středu je Slunce a Země se točí kolem své osy a kolem Jarily, zatímco energie jde jak do středu, tak ven. Podle některých informací existují však ještě další Země a tak vzniká vícevrstvá časová spirála. Z každého časového proudu proudí do středu a ven """"hutná"""" energie, ale také """"jemněhmotná"""", proto naši dříve tvrdili, že jiné planety ovlivňují ži"    [665 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  tady toho asi slohově moc nevytvoříš. jde o tabulku. spíš chyby a překlepy + přelozit rj a an EXOPLANETY Naši vzdálení předkové měli přesnější informace nejen o galaxii, ale také o naší sluneční soustavě, než my nyní. Zejména velmi dobře znali její historii a strukturu. Znali složení naší sluneční soustavy. Systém, zahrnuje 27 (podle starého systému výpočtu) planet a velkých asteroidů zvaných Země, z nichž polovina je umístěna za Plutem a dosud není našim moderním astronomům známa. Cestování za tři krát devět Zemí, zmíněné ve starých ruských pohádkách, znamenalo vesmírný let mimo naší sluneční soustavu. Sluneční soustava je jakousi spirálou. Ve středu je Slunce a Země se točí kolem své osy a kolem Jarily, zatímco energie jde jak do středu, tak ven. Podle některých informací existují však ještě další Země a tak vzniká vícevrstvá časová spirála. Z každého časového proudu proudí do středu a ven """"hutná"""" energie, ale také """"jemněhmotná"""", proto naši dříve tvrdili, že jiné planety ovlivňují ži"    	[665 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	665	1	[665 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  tady toho asi slohově moc nevytvoříš. jde o tabulku. spíš chyby a překlepy + přelozit rj a an EXOPLANETY Naši vzdálení předkové měli přesnější informace nejen o galaxii, ale také o naší sluneční soustavě, než my nyní. Zejména velmi dobře znali její historii a strukturu. Znali složení naší sluneční soustavy. Systém, zahrnuje 27 (podle starého systému výpočtu) planet a velkých asteroidů zvaných Země, z nichž polovina je umístěna za Plutem a dosud není našim moderním astronomům známa. Cestování za tři krát devět Zemí, zmíněné ve starých ruských pohádkách, znamenalo vesmírný let mimo naší sluneční soustavu. Sluneční soustava je jakousi spirálou. Ve středu je Slunce a Země se točí kolem své osy a kolem Jarily, zatímco energie jde jak do středu, tak ven. Podle některých informací existují však ještě další Země a tak vzniká vícevrstvá časová spirála. Z každého časového proudu proudí do středu a ven """"hutná"""" energie, ale také """"jemněhmotná"""", proto naši dříve tvrdili, že jiné planety ovlivňují ži"    	 tady toho asi slohově moc nevytvoříš. jde o tabulku. spíš chyby a překlepy + přelozit rj a an EXOPLANETY Naši vzdálení předkové měli přesnější informace nejen o galaxii, ale také o naší sluneční soustavě, než my nyní. Zejména velmi dobře znali její historii a strukturu. Znali složení naší sluneční soustavy. Systém, zahrnuje 27 (podle starého systému výpočtu) planet a velkých asteroidů zvaných Země, z nichž polovina je umístěna za Plutem a dosud není našim moderním astronomům známa. Cestování za tři krát devět Zemí, zmíněné ve starých ruských pohádkách, znamenalo vesmírný let mimo naší sluneční soustavu. Sluneční soustava je jakousi spirálou. Ve středu je Slunce a Země se točí kolem své osy a kolem Jarily, zatímco energie jde jak do středu, tak ven. Podle některých informací existují však ještě další Země a tak vzniká vícevrstvá časová spirála. Z každého časového proudu proudí do středu a ven """"hutná"""" energie, ale také """"jemněhmotná"""", proto naši dříve tvrdili, že jiné planety ovlivňují ži"			
[666 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Exoplanety – mohou být planety nnacházející se mimo sluneční soustavu. První exoplaneta byla objevena v roce 1988 a od té doby vědci NASA hlásí objevení více jak 4000 planet s podmínkami vhodnými pro život. To znamená kapalnou vodou, přiměřenou teplotou a gravitací.    [666 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Exoplanety – mohou být planety nnacházející se mimo sluneční soustavu. První exoplaneta byla objevena v roce 1988 a od té doby vědci NASA hlásí objevení více jak 4000 planet s podmínkami vhodnými pro život. To znamená kapalnou vodou, přiměřenou teplotou a gravitací.    	[666 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	666	1	[666 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Exoplanety – mohou být planety nnacházející se mimo sluneční soustavu. První exoplaneta byla objevena v roce 1988 a od té doby vědci NASA hlásí objevení více jak 4000 planet s podmínkami vhodnými pro život. To znamená kapalnou vodou, přiměřenou teplotou a gravitací.    	 Exoplanety – mohou být planety nnacházející se mimo sluneční soustavu. První exoplaneta byla objevena v roce 1988 a od té doby vědci NASA hlásí objevení více jak 4000 planet s podmínkami vhodnými pro život. To znamená kapalnou vodou, přiměřenou teplotou a gravitací.			
[667 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  parametry    [667 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  parametry    	[667 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	667	1	[667 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  parametry    	 parametry			
[668 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  MERKUR    [668 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  MERKUR    	[668 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	668	1	[668 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  MERKUR    	 MERKUR			
[669 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Chors, MUM.MU, -    [669 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Chors, MUM.MU, -    	[669 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	669	1	[669 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Chors, MUM.MU, -    	 Chors, MUM.MU, -			
[670 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  VENUŠE    [670 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  VENUŠE    	[670 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	670	1	[670 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  VENUŠE    	 VENUŠE			
[671 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Merzana, -, -    [671 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Merzana, -, -    	[671 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	671	1	[671 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Merzana, -, -    	 Merzana, -, -			
[672 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  ZEMĚ    [672 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  ZEMĚ    	[672 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	672	1	[672 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  ZEMĚ    	 ZEMĚ			
[673 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Midgard, KI, Terra, Gaia    [673 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Midgard, KI, Terra, Gaia    	[673 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	673	1	[673 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Midgard, KI, Terra, Gaia    	 Midgard, KI, Terra, Gaia			
[674 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  text:    [674 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  text:    	[674 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	674	1	[674 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  text:    	 text:			
[675 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Země měla zpočátku dva měsíce – aktuálně existující Měsíc s oběžnou dobou 29,3 dne a Lelja s oběžnou dobou 7 dnů.    [675 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Země měla zpočátku dva měsíce – aktuálně existující Měsíc s oběžnou dobou 29,3 dne a Lelja s oběžnou dobou 7 dnů.    	[675 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	675	1	[675 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Země měla zpočátku dva měsíce – aktuálně existující Měsíc s oběžnou dobou 29,3 dne a Lelja s oběžnou dobou 7 dnů.    	 Země měla zpočátku dva měsíce – aktuálně existující Měsíc s oběžnou dobou 29,3 dne a Lelja s oběžnou dobou 7 dnů.			
[676 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Asi před 143 tisíci lety byl Měsíc Fatluri ta přenesen na naši Zemi ze zničeného Faetonu a umístěn mezi oběžné dráhy Měsíce a Lelji s oběžnou dobou 13 dnů. Lelja byla zničena v roce 111 826 před naším letopočtem a Fatta – v roce 11029 př. n. l. v důsledku použití super výkonných zbraní pozemšťanů nebo – jak vyplývá z časové osy – přiblížením se do gravitačního pole Nibiru - což vedlo ke globálním katastrofám.    [676 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Asi před 143 tisíci lety byl Měsíc Fatluri ta přenesen na naši Zemi ze zničeného Faetonu a umístěn mezi oběžné dráhy Měsíce a Lelji s oběžnou dobou 13 dnů. Lelja byla zničena v roce 111 826 před naším letopočtem a Fatta – v roce 11029 př. n. l. v důsledku použití super výkonných zbraní pozemšťanů nebo – jak vyplývá z časové osy – přiblížením se do gravitačního pole Nibiru - což vedlo ke globálním katastrofám.    	[676 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	676	1	[676 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Asi před 143 tisíci lety byl Měsíc Fatluri ta přenesen na naši Zemi ze zničeného Faetonu a umístěn mezi oběžné dráhy Měsíce a Lelji s oběžnou dobou 13 dnů. Lelja byla zničena v roce 111 826 před naším letopočtem a Fatta – v roce 11029 př. n. l. v důsledku použití super výkonných zbraní pozemšťanů nebo – jak vyplývá z časové osy – přiblížením se do gravitačního pole Nibiru - což vedlo ke globálním katastrofám.    	 Asi před 143 tisíci lety byl Měsíc Fatluri ta přenesen na naši Zemi ze zničeného Faetonu a umístěn mezi oběžné dráhy Měsíce a Lelji s oběžnou dobou 13 dnů. Lelja byla zničena v roce 111 826 před naším letopočtem a Fatta – v roce 11029 př. n. l. v důsledku použití super výkonných zbraní pozemšťanů nebo – jak vyplývá z časové osy – přiblížením se do gravitačního pole Nibiru - což vedlo ke globálním katastrofám.			
[677 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  MARS    [677 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  MARS    	[677 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	677	1	[677 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  MARS    	 MARS			
[678 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Orea, LACH.MU, -    [678 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Orea, LACH.MU, -    	[678 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	678	1	[678 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  Orea, LACH.MU, -    	 Orea, LACH.MU, -			
[679 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  PHAETON    [679 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  PHAETON    	[679 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	1	SARA.AI:ALEŠ 2026.02.18 00:00:00 #1	SARA.AI:ALEŠ	2026.02.18 00:00:00	679	1	[679 SARA.AI:ALEŠ 2026.02.18 00:00:00 #1]  PHAETON    	 PHAETON			
